id,framework,domain,sub_domain,control
ISM-1084,ISM,Mobile device usage,Maintaining control of mobile devices,"If unable to carry or store mobile devices in a secured state, they are physically transferred in a security briefcase or an approved multi-use satchel, pouch or transit bag."
ISM-0701,ISM,Mobile device usage,Mobile device emergency sanitisation processes and procedures,"Mobile device emergency sanitisation processes, and supporting mobile device emergency sanitisation procedures, are developed, implemented and maintained."
ISM-0702,ISM,Mobile device usage,Mobile device emergency sanitisation processes and procedures,"If a cryptographic zeroise or sanitise function is provided for cryptographic keys on a SECRET or TOP SECRET mobile device, the function is used as part of mobile device emergency sanitisation processes and procedures."
ISM-1298,ISM,Mobile device usage,Before travelling overseas with mobile devices,Personnel are advised of privacy and security risks when travelling overseas with mobile devices.
ISM-1554,ISM,Mobile device usage,Before travelling overseas with mobile devices,"If travelling overseas with mobile devices to high or extreme risk countries, personnel are: • issued with newly provisioned accounts, mobile devices and removable media from a pool of dedicated travel devices which are used solely for work-related activities • advised on how to apply and inspect tamper seals to key areas of mobile devices • advised to avoid taking any personal mobile devices, especially if rooted or jailbroken."
ISM-1555,ISM,Mobile device usage,Before travelling overseas with mobile devices,"Before travelling overseas with mobile devices, personnel take the following actions: • record all details of the mobile devices being taken, such as product types, serial numbers and International Mobile Equipment Identity numbers • update all operating systems and applications • remove all non-essential accounts, applications and data • apply security configuration settings, such as lock screens • configure remote locate and wipe functionality • enable encryption, including for any removable media • backup all important data and configuration settings."
ISM-1088,ISM,Mobile device usage,While travelling overseas with mobile devices,"Personnel report the potential compromise of mobile devices, removable media or credentials to their organisation as soon as possible, especially if they: • provide credentials to foreign government officials • decrypt mobile devices for foreign government officials • have mobile devices taken out of sight by foreign government officials • have mobile devices or removable media stolen, including if later returned • lose mobile devices or removable media, including if later found • observe unusual behaviour of mobile devices."
ISM-1300,ISM,Mobile device usage,After travelling overseas with mobile devices,"Upon returning from travelling overseas with mobile devices, personnel take the following actions: • sanitise and reset mobile devices, including all removable media • decommission any credentials that left their possession during their travel • report if significant doubt exists as to the integrity of any mobile devices or removable media."
ISM-1556,ISM,Mobile device usage,After travelling overseas with mobile devices,"If returning from travelling overseas with mobile devices to high or extreme risk countries, personnel take the following additional actions: • reset credentials used with mobile devices, including those used for remote access to their organisation’s systems • monitor accounts for any indicators of compromise, such as failed logon attempts."
ISM-0280,ISM,Evaluated product procurement,Evaluated product selection,"If procuring an evaluated product, a product that has completed a PP-based evaluation, including against all applicable PP modules, is selected in preference to one that has completed an EAL-based evaluation."
ISM-0285,ISM,Evaluated product procurement,Delivery of evaluated products,Evaluated products are delivered in a manner consistent with any delivery procedures defined in associated evaluation documentation.
ISM-0286,ISM,Evaluated product procurement,Delivery of evaluated products,"When procuring high assurance ICT equipment, ASD is contacted for any equipment-specific delivery procedures."
ISM-0289,ISM,Evaluated product usage,Using evaluated products,"Evaluated products are installed, configured, administered and operated in an evaluated configuration and in accordance with vendor guidance."
ISM-0290,ISM,Evaluated product usage,Using evaluated products,"High assurance ICT equipment is installed, configured, administered and operated in an evaluated configuration and in accordance with ASD guidance."
ISM-1551,ISM,ICT equipment usage,ICT equipment management policy,"An ICT equipment management policy is developed, implemented and maintained."
ISM-1857,ISM,ICT equipment usage,ICT equipment selection,"ICT equipment is chosen from vendors that have demonstrated a commitment to secure-by-design and secure-by-default principles, use of memory-safe programming languages where possible, secure programming practices, and maintaining the security of their products."
